tahun,tanggal_kejadian,jenis_kriminal,wilayah,kepadatan_penduduk,pengangguran_persen
2020,2020-09-08,KRIMINALITAS,JAKARTA SELATAN,2234262,5.63
2020,2020-11-17,KEKERASAN,JAKARTA SELATAN,2234262,5.63
2020,2020-01-25,PENCURIAN,JAKARTA SELATAN,2234262,5.63
2020,2020-05-04,NARKOTIKA,JAKARTA SELATAN,2234262,5.63
2020,2020-07-13,PENIPUAN/PENGGELAPAN,JAKARTA SELATAN,2234262,5.63
2020,2020-10-22,KRIMINALITAS,JAKARTA SELATAN,2234262,5.63
2020,2020-03-19,KRIMINALITAS,JAKARTA UTARA,1799220,08.04
2020,2020-05-28,KEKERASAN,JAKARTA UTARA,1799220,08.04
2020,2020-08-06,KESUSILAAN,JAKARTA UTARA,1799220,08.04
2020,2020-10-15,KRIMINALITAS,JAKARTA UTARA,1799220,08.04
2020,2020-12-24,KEKERASAN,JAKARTA UTARA,1799220,08.04
2020,2020-02-02,PENCURIAN,JAKARTA UTARA,1799220,08.04
2020,2020-06-11,NARKOTIKA,JAKARTA UTARA,1799220,08.04
2020,2020-09-20,PENIPUAN/PENGGELAPAN,JAKARTA UTARA,1799220,08.04
2020,2020-11-29,KRIMINALITAS,JAKARTA UTARA,1799220,08.04
2021,2021-03-10,KRIMINALITAS,JAKARTA BARAT,2470054,6.39
2021,2021-05-19,KEKERASAN,JAKARTA BARAT,2470054,6.39
2021,2021-07-28,KESUSILAAN,JAKARTA BARAT,2470054,6.39
2021,2021-09-06,KRIMINALITAS,JAKARTA BARAT,2470054,6.39
2021,2021-11-15,KEKERASAN,JAKARTA BARAT,2470054,6.39
2021,2021-01-24,PENCURIAN,JAKARTA BARAT,2470054,6.39
2021,2021-04-04,NARKOTIKA,JAKARTA BARAT,2470054,6.39
2021,2021-06-13,PENIPUAN/PENGGELAPAN,JAKARTA BARAT,2470054,6.39
2021,2021-08-22,KRIMINALITAS,JAKARTA BARAT,2470054,6.39
2021,2021-02-07,KRIMINALITAS,JAKARTA TIMUR,3079618,7.24
2021,2021-04-18,KRIMINALITAS,JAKARTA TIMUR,3079618,7.24
2021,2021-06-27,KESUSILAAN,JAKARTA TIMUR,3079618,7.24
2021,2021-09-05,PENCURIAN,JAKARTA TIMUR,3079618,7.24
2021,2021-11-14,PENIPUAN/PENGGELAPAN,JAKARTA TIMUR,3079618,7.24
2021,2021-01-23,PENCURIAN,JAKARTA TIMUR,3079618,7.24
2021,2021-04-03,NARKOTIKA,JAKARTA TIMUR,3079618,7.24
2021,2021-06-12,PENIPUAN/PENGGELAPAN,JAKARTA TIMUR,3079618,7.24
2021,2021-08-21,KRIMINALITAS,JAKARTA TIMUR,3079618,7.24
2021,2021-03-09,PEMBUNUHAN,JAKARTA PUSAT,1049314,6.42
2021,2021-05-18,KEKERASAN,JAKARTA PUSAT,1049314,6.42
2021,2021-07-27,KESUSILAAN,JAKARTA PUSAT,1049314,6.42
2021,2021-09-05,PENIPUAN/PENGGELAPAN,JAKARTA PUSAT,1049314,6.42
2021,2021-11-14,KEKERASAN,JAKARTA PUSAT,1049314,6.42
2021,2021-01-23,PENCURIAN,JAKARTA PUSAT,1049314,6.42
2021,2021-04-03,NARKOTIKA,JAKARTA PUSAT,1049314,6.42
2021,2021-06-12,PENIPUAN/PENGGELAPAN,JAKARTA PUSAT,1049314,6.42
2021,2021-08-21,PENIPUAN/PENGGELAPAN,JAKARTA PUSAT,1049314,6.42
2021,2021-02-06,PEMBUNUHAN,JAKARTA SELATAN,2235606,5.37
2021,2021-04-17,KEKERASAN,JAKARTA SELATAN,2235606,5.37
2021,2021-06-26,KESUSILAAN,JAKARTA SELATAN,2235606,5.37
2021,2021-09-04,KRIMINALITAS,JAKARTA SELATAN,2235606,5.37
2021,2021-11-13,KEKERASAN,JAKARTA SELATAN,2235606,5.37
2021,2021-01-22,PENCURIAN,JAKARTA SELATAN,2235606,5.37
2021,2021-04-02,NARKOTIKA,JAKARTA SELATAN,2235606,5.37
2021,2021-06-11,PENIPUAN/PENGGELAPAN,JAKARTA SELATAN,2235606,5.37
2021,2021-08-20,PENIPUAN/PENGGELAPAN,JAKARTA SELATAN,2235606,5.37
2021,2021-03-08,PEMBUNUHAN,JAKARTA UTARA,1808985,07.05
2021,2021-05-17,KEKERASAN,JAKARTA UTARA,1808985,07.05
2021,2021-07-26,KESUSILAAN,JAKARTA UTARA,1808985,07.05
2021,2021-09-04,KRIMINALITAS,JAKARTA UTARA,1808985,07.05
2021,2021-11-13,KEKERASAN,JAKARTA UTARA,1808985,07.05
2021,2021-01-22,PENCURIAN,JAKARTA UTARA,1808985,07.05
2021,2021-04-02,NARKOTIKA,JAKARTA UTARA,1808985,07.05
2021,2021-06-11,PENIPUAN/PENGGELAPAN,JAKARTA UTARA,1808985,07.05
2021,2021-08-20,KRIMINALITAS,JAKARTA UTARA,1808985,07.05
